For_Separate_Chaining,Before_Deletion,After_Deletion,
Load_Factor,Avg_Search_Time,Avg_Search_Time
0.4,0.16248000000005153,0.23983750000002482
0.5,0.28914800000000285,0.318311999999861
0.6,0.290814999999965,0.2127716666668753
0.7,0.13692571428581699,0.19912285714292602
0.8,0.13890375000013902,0.3633762500000117
0.9,0.23051888888893485,0.3788088888889539

For_LinearProbing,Before_Deletion,,After_Deletion,
Load_Factor,Avg_Search_Time,Avg_Number_Of_Probes,Avg_Search_Time,Avg_Number_Of_Probes
0.4,0.3317075000000357,1.455825,0.46085999999994504,2.517925
0.5,0.2814500000000364,1.099,0.5855239999999253,3.19852
0.6,0.4267716666666711,1.9996333333333334,0.6643149999994056,3.607083333333333
0.7,0.358010000000052,1.805157142857143,0.9344285714292025,5.5519
0.8,0.30638999999999483,1.1784625,1.4983762499999478,11.6437625
0.9,2.703988888888708,15.387755555555556,4.455821111111898,33.46104444444445

For_QuadraticProbing,Before_Deletion,,After_Deletion,
Load_Factor,Avg_Search_Time,Avg_Number_Of_Probes,Avg_Search_Time,Avg_Number_Of_Probes
0.4,0.3531150000000385,1.388125,0.6485750000000792,2.40035
0.5,0.26024800000011694,1.264,0.7840680000000416,2.74516
0.6,0.5836833333333546,2.3824666666666667,0.6988666666665321,3.2805666666666666
0.7,0.29905285714284907,1.1594714285714285,0.969102857142743,4.323842857142857
0.8,0.33473624999999657,1.2413625,1.3305549999999289,5.4210875
0.9,0.4446155555555816,1.4936888888888888,2.4070266666665248,9.79801111111111

For_DoubleHashing,Before_Deletion,,After_Deletion,
Load_Factor,Avg_Search_Time,Avg_Number_Of_Probes,Avg_Search_Time,Avg_Number_Of_Probes
0.4,0.3948475000000544,1.4046,0.6387449999999021,2.021325
0.5,0.5948979999999425,1.63796,0.7778220000003154,2.14154
0.6,0.3909049999999765,1.229,0.8882516666666406,3.2669333333333332
0.7,0.541657142857146,2.014485714285714,1.2022271428574336,2.8500714285714284
0.8,0.43638500000000585,1.5383375,1.2945374999996528,4.22115
0.9,1.0133333333335683,2.1948666666666665,2.530738888888816,7.2792
